"1","2","3","4","5","6"
"노르웨이","여자","15~19세",35.17543,41.48346,15.20613
"노르웨이","여자","15~24세",50.45021,55.75205,9.50968
"노르웨이","여자","15~64세",73.08715,75.72772,3.48693
"노르웨이","여자","20~24세",64.72956,69.09078,6.3123
"노르웨이","여자","25~29세",80.72311,83.55413,3.38824
"노르웨이","여자","25~34세",81.0137,83.79095,3.3145
"노르웨이","여자","25~54세",81.08744,83.48484,2.87166
"노르웨이","여자","25~64세",78.28735,80.31657,2.52653
"노르웨이","여자","30~34세",81.30544,84.02871,3.24088
"노르웨이","여자","35~39세",81.14841,84.41408,3.86863
"노르웨이","여자","35~44세",81.16074,83.79431,3.1429
"노르웨이","여자","40~44세",81.17331,83.16321,2.39277
"노르웨이","여자","45~49세",81.1178,83.14987,2.44386
"노르웨이","여자","45~54세",81.09184,82.89075,2.17022
"노르웨이","여자","50~54세",81.06526,82.62552,1.88835
"노르웨이","여자","55~59세",76.19144,77.14119,1.23119
"노르웨이","여자","55~64세",68.72344,69.49513,1.11041
"노르웨이","여자","60~64세",60.77607,61.35825,0.94883
"노르웨이","여자","65~69세",24.11563,24.20819,0.38235
"노르웨이","여자","65세 이상",9.11073,9.14002,0.32048
"노르웨이","여자","총계",60.0115,62.11837,3.39171
"노르웨이","개인 전체","15~19세",33.40269,39.08562,14.53969
"노르웨이","개인 전체","15~24세",49.95689,55.48125,9.95716
"노르웨이","개인 전체","15~64세",75.29994,78.26203,3.78483
"노르웨이","개인 전체","20~24세",65.43406,70.81016,7.59227
"노르웨이","개인 전체","25~29세",80.71911,84.21896,4.15566
"노르웨이","개인 전체","25~34세",82.64614,85.85952,3.74259
"노르웨이","개인 전체","25~54세",83.55333,86.27148,3.1507
"노르웨이","개인 전체","25~64세",81.14518,83.51629,2.8391
"노르웨이","개인 전체","30~34세",84.58258,87.50808,3.34312
"노르웨이","개인 전체","35~39세",84.87075,88.12657,3.69448
"노르웨이","개인 전체","35~44세",84.70936,87.5894,3.28811
"노르웨이","개인 전체","40~44세",84.54487,87.04192,2.86879
"노르웨이","개인 전체","45~49세",83.75089,86.00755,2.62379
"노르웨이","개인 전체","45~54세",83.36355,85.43952,2.42976
"노르웨이","개인 전체","50~54세",82.96775,84.85911,2.22882
"노르웨이","개인 전체","55~59세",80.03496,81.33382,1.59695
"노르웨이","개인 전체","55~64세",72.82433,73.99629,1.58381
"노르웨이","개인 전체","60~64세",65.0467,66.08179,1.56637
"노르웨이","개인 전체","65~69세",29.46224,29.79649,1.12179
"노르웨이","개인 전체","65세 이상",10.85155,10.96704,1.05307
"노르웨이","개인 전체","총계",61.81676,64.18331,3.68717
"뉴질랜드","남자","15~19세",37.00249,45.08706,17.93103
"뉴질랜드","남자","15~24세",56.93823,63.9809,11.00746
"뉴질랜드","남자","15~64세",81.78553,85.15264,3.95421
"뉴질랜드","남자","20~24세",75.32989,81.41136,7.47005
"뉴질랜드","남자","25~29세",87.33966,90.96487,3.98528
"뉴질랜드","남자","25~34세",89.21368,92.2245,3.26466
"뉴질랜드","남자","25~54세",90.63798,93.02375,2.56469
"뉴질랜드","남자","25~64세",88.58753,90.94845,2.59589
"뉴질랜드","남자","30~34세",91.27764,93.6118,2.49344
"뉴질랜드","남자","35~39세",92.69103,94.75083,2.17391
"뉴질랜드","남자","35~44세",92.16022,94.14584,2.10909
"뉴질랜드","남자","40~44세",91.59604,93.50282,2.03928
"뉴질랜드","남자","45~49세",91.47287,93.47545,2.14236
"뉴질랜드","남자","45~54세",90.77782,92.84542,2.22694
"뉴질랜드","남자","50~54세",90.06004,92.1948,2.31548
"뉴질랜드","남자","55~59세",85.66711,87.71466,2.33434
"뉴질랜드","남자","55~64세",81.83731,84.11641,2.70946
"뉴질랜드","남자","60~64세",77.50373,80.04484,3.1746
"뉴질랜드","남자","65~69세",51.21107,51.98962,1.4975
"뉴질랜드","남자","65세 이상",29.17028,29.60393,1.46484
"뉴질랜드","남자","총계",72.23243,75.06693,3.77596
"뉴질랜드","여자","15~19세",40.05219,48.66275,17.69437
"뉴질랜드","여자","15~24세",56.15873,63.33333,11.32832
"뉴질랜드","여자","15~64세",73.2612,76.7728,4.57401
"뉴질랜드","여자","20~24세",71.42857,77.24181,7.52602
"뉴질랜드","여자","25~29세",78.00111,81.29536,4.0522
"뉴질랜드","여자","25~34세",76.85763,80.09075,4.03683
"뉴질랜드","여자","25~54세",79.30723,82.15863,3.47061
"뉴질랜드","여자","25~64세",77.39731,80.02303,3.28121
"뉴질랜드","여자","30~34세",75.67724,78.84726,4.02047
"뉴질랜드","여자","35~39세",77.07682,80.32479,4.04355
"뉴질랜드","여자","35~44세",78.61715,81.59411,3.64849
"뉴질랜드","여자","40~44세",80.23637,82.92843,3.24624
"뉴질랜드","여자","45~49세",82.5547,84.68362,2.51397
"뉴질랜드","여자","45~54세",82.56798,84.89426,2.74021
"뉴질랜드","여자","50~54세",82.58184,85.11427,2.97533
"뉴질랜드","여자","55~59세",76.33353,78.41815,2.65833
"뉴질랜드","여자","55~64세",71.19086,73.0832,2.58929
"뉴질랜드","여자","60~64세",65.3417,67.01534,2.4974
"뉴질랜드","여자","65~69세",37.41883,37.82468,1.07296
"뉴질랜드","여자","65세 이상",19.12071,19.38085,1.34228
"뉴질랜드","여자","총계",62.86528,65.75253,4.3911
"뉴질랜드","개인 전체","15~19세",38.49093,46.83222,17.81101
"뉴질랜드","개인 전체","15~24세",56.56053,63.66713,11.16212
"뉴질랜드","개인 전체","15~64세",77.44515,80.88582,4.25375
"뉴질랜드","개인 전체","20~24세",73.45238,79.40476,7.49625
"뉴질랜드","개인 전체","25~29세",82.67299,86.13281,4.01684
"뉴질랜드","개인 전체","25~34세",82.94228,86.06593,3.62937
"뉴질랜드","개인 전체","25~54세",84.80542,87.43087,3.0029
"뉴질랜드","개인 전체","25~64세",82.81881,85.31623,2.92726
"뉴질랜드","개인 전체","30~34세",83.22926,85.99465,3.21577
"뉴질랜드","개인 전체","35~39세",84.64263,87.31487,3.06047
"뉴질랜드","개인 전체","35~44세",85.16129,87.65922,2.84959
"뉴질랜드","개인 전체","40~44세",85.70942,88.02313,2.62853
"뉴질랜드","개인 전체","45~49세",86.81692,88.88546,2.3272
"뉴질랜드","개인 전체","45~54세",86.50307,88.70537,2.48271
"뉴질랜드","개인 전체","50~54세",86.17704,88.51828,2.64493
"뉴질랜드","개인 전체","55~59세",80.82671,82.89348,2.49329
"뉴질랜드","개인 전체","55~64세",76.32246,78.40122,2.65143
"뉴질랜드","개인 전체","60~64세",71.21212,73.30447,2.85433
"뉴질랜드","개인 전체","65~69세",44.09548,44.68174,1.31209
"뉴질랜드","개인 전체","65세 이상",23.8806,24.22292,1.41323
"뉴질랜드","개인 전체","총계",67.43281,70.29434,4.07078
"덴마크","남자","15~19세",39.37745,45.40663,13.27819
"덴마크","남자","15~24세",54.22276,60.50003,10.37565
"덴마크","남자","15~64세",78.1089,81.99151,4.73538
"덴마크","남자","20~24세",67.28426,73.77981,8.80397
"덴마크","남자","25~29세",75.8051,83.26008,8.95384
"덴마크","남자","25~34세",81.13627,87.09156,6.83797
"덴마크","남자","25~54세",86.43336,90.09921,4.06868
"덴마크","남자","25~64세",83.9733,87.26798,3.77536
"덴마크","남자","30~34세",87.07396,91.35894,4.69027
"덴마크","남자","35~39세",89.50506,92.4381,3.17297
"덴마크","남자","35~44세",89.85418,92.32034,2.67131
"덴마크","남자","40~44세",90.17202,92.21313,2.21347
"덴마크","남자","45~49세",89.97729,91.98889,2.18679
"덴마크","남자","45~54세",88.46268,91.0109,2.79991
"덴마크","남자","50~54세",87.04809,90.09751,3.38457
"덴마크","남자","55~59세",84.70638,86.72723,2.33011
"덴마크","남자","55~64세",76.17557,78.29374,2.70542
"덴마크","남자","60~64세",66.53787,68.76601,3.24018
"덴마크","남자","65~69세",31.7893,31.7893,0
"덴마크","남자","65세 이상",13.24492,13.24492,0
"덴마크","남자","총계",63.77236,66.79682,4.52784
"덴마크","여자","15~19세",45.12027,51.43545,12.27788
"덴마크","여자","15~24세",55.77022,61.78337,9.73263
"덴마크","여자","15~64세",72.18451,76.02445,5.05092
"덴마크","여자","20~24세",65.12598,70.8738,8.10994
"덴마크","여자","25~29세",69.27278,76.63322,9.60476
"덴마크","여자","25~34세",72.71866,78.77014,7.68246
"덴마크","여자","25~54세",78.88687,82.81856,4.74735
"덴마크","여자","25~64세",76.1033,79.42439,4.18146
"덴마크","여자","30~34세",76.53332,81.13576,5.67251
"덴마크","여자","35~39세",80.30378,84.34616,4.79261
"덴마크","여자","35~44세",81.48912,84.97381,4.10089
"덴마크","여자","40~44세",82.53675,85.52854,3.498
"덴마크","여자","45~49세",83.28102,85.964,3.12105
"덴마크","여자","45~54세",82.29852,84.66956,2.80035
"덴마크","여자","50~54세",81.35811,83.43059,2.48407
"덴마크","여자","55~59세",80.67476,82.23282,1.8947
"덴마크","여자","55~64세",67.53149,68.9723,2.08897
"덴마크","여자","60~64세",52.94672,54.25742,2.41571
"덴마크","여자","65~69세",12.88229,12.88229,0
"덴마크","여자","65세 이상",4.56311,4.56311,0
"덴마크","여자","총계",55.04014,57.90652,4.95001
"덴마크","개인 전체","15~19세",42.18567,48.3547,12.75787
"덴마크","개인 전체","15~24세",54.97978,61.12784,10.05771
"덴마크","개인 전체","15~64세",75.17733,79.03883,4.88556
"덴마크","개인 전체","20~24세",66.22803,72.35766,8.47129
"덴마크","개인 전체","25~29세",72.60757,80.01627,9.25899
"덴마크","개인 전체","25~34세",77.00984,83.01228,7.23079
"덴마크","개인 전체","25~54세",82.70206,86.49936,4.38997
"덴마크","개인 전체","25~64세",80.06826,83.37605,3.96731
"덴마크","개인 전체","30~34세",81.89837,86.33923,5.1435
